datetime,value_1,value_2,value_3
2022-06-15 13:30:00,1907.5200195312,121.80000305176,107
2022-06-15 13:45:00,1862.4000244141,109.30000305176,116
2022-06-15 14:00:00,1743.1999511719,108.80000305176,107
2022-06-15 14:15:00,1848.1600341797,116.59999847412,115
2022-06-15 14:30:00,1937.9200439453,101,118
2022-06-15 14:45:00,1821.2800292969,99.900001525879,109
2022-06-15 15:00:00,1818.2399902344,100.19999694824,108
2022-06-15 15:15:00,1812.4799804688,98.400001525879,104
2022-06-15 15:30:00,1776.9599609375,104,96
2022-06-15 15:45:00,1847.8399658203,99.199996948242,101
2022-06-15 16:00:00,1951.0400390625,111.19999694824,94
2022-06-15 16:15:00,1862.2399902344,113.30000305176,118
2022-06-15 16:30:00,1878.4000244141,108.80000305176,115
2022-06-15 16:45:00,1904.4799804688,96.900001525879,98
2022-06-15 17:00:00,1851.1999511719,108.59999847412,108
2022-06-15 17:15:00,1791.3599853516,104.80000305176,108
2022-06-15 17:30:00,1851.6800537109,104,103
2022-06-15 17:45:00,1709.1199951172,99.199996948242,105
2022-06-15 18:00:00,1649.9200439453,91.599998474121,100
2022-06-15 18:15:00,1699.1999511719,86.699996948242,83
2022-06-15 18:30:00,1758.2399902344,98,97
2022-06-15 18:45:00,1720.1600341797,109.5,95
2022-06-15 19:00:00,1676.6400146484,110.80000305176,115
2022-06-15 19:15:00,1665.7600097656,113.80000305176,116
2022-06-15 19:30:00,1783.1999511719,104.30000305176,102
2022-06-15 19:45:00,1838.7199707031,116.5,117
2022-06-15 20:00:00,1861.2800292969,112.80000305176,113
2022-06-15 20:15:00,1589.2800292969,114,109
2022-06-15 20:30:00,1439.8399658203,108.90000152588,111
2022-06-15 20:45:00,1480.9599609375,91.300003051758,101
2022-06-15 21:00:00,1642.8800048828,85.099998474121,82
2022-06-15 21:15:00,1590.8800048828,100,98
2022-06-15 21:30:00,1620.3199462891,94.099998474121,84
2022-06-15 21:45:00,1672.1600341797,130.80000305176,122
2022-06-15 22:00:00,1623.0400390625,111.59999847412,128
2022-06-15 22:15:00,1511.5200195312,107.30000305176,118
2022-06-15 22:30:00,1415.5200195312,131.10000610352,134
2022-06-15 22:45:00,1451.0400390625,99.800003051758,117
2022-06-15 23:00:00,1497.4399414062,130.39999389648,113
2022-06-15 23:15:00,1392.3199462891,111.5,129
2022-06-15 23:30:00,1170.8800048828,85.599998474121,103
2022-06-15 23:45:00,1072.1600341797,70,75
2022-06-16 00:00:00,841.91998291016,59.900001525879,70
2022-06-16 00:15:00,792.15997314453,51,56
2022-06-16 00:30:00,812,47.099998474121,48
2022-06-16 00:45:00,879.35998535156,45,48
2022-06-16 01:00:00,863.84002685547,51.599998474121,49
2022-06-16 01:15:00,812.32000732422,48.799999237061,46
2022-06-16 01:30:00,828.32000732422,46.900001525879,49
2022-06-16 01:45:00,789.76000976562,46.200000762939,44
2022-06-16 02:00:00,764.96002197266,46.799999237061,49
2022-06-16 02:15:00,767.52001953125,47.400001525879,48
2022-06-16 02:30:00,745.59997558594,48.799999237061,45
2022-06-16 02:45:00,774.40002441406,44.5,48
2022-06-16 03:00:00,849.59997558594,43.900001525879,46
2022-06-16 03:15:00,823.52001953125,46.400001525879,43
2022-06-16 03:30:00,828,46.799999237061,49
2022-06-16 03:45:00,762.88000488281,42.900001525879,47
2022-06-16 04:00:00,909.59997558594,46.200000762939,42
2022-06-16 04:15:00,942.08001708984,45.400001525879,50
2022-06-16 04:30:00,957.76000976562,46.599998474121,48
2022-06-16 04:45:00,1019.0399780273,46.099998474121,44
2022-06-16 05:00:00,1096,53.200000762939,50
2022-06-16 05:15:00,1484.4799804688,51,49
2022-06-16 05:30:00,1608.6400146484,52.700000762939,55
2022-06-16 05:45:00,1323.0400390625,65.300003051758,56
2022-06-16 06:00:00,1868.9599609375,62.599998474121,59
2022-06-16 06:15:00,1507.1999511719,61.5,67
2022-06-16 06:30:00,1528,69.599998474121,78
2022-06-16 06:45:00,1605.9200439453,75.300003051758,69
2022-06-16 07:00:00,2025.1199951172,78.900001525879,78
2022-06-16 07:15:00,1893.1199951172,100.5,97
2022-06-16 07:30:00,1788.1600341797,102.5,98
2022-06-16 07:45:00,1828.6400146484,99.400001525879,104
2022-06-16 08:00:00,1931.8399658203,117.5,102
2022-06-16 08:15:00,1948.1600341797,110.40000152588,118
2022-06-16 08:30:00,1949.4399414062,112,118
2022-06-16 08:45:00,1961.1199951172,108.40000152588,109
2022-06-16 09:00:00,1925.7600097656,107.30000305176,111
2022-06-16 09:15:00,1978.5600585938,105.5,112
2022-06-16 09:30:00,1989.4399414062,100.30000305176,98
2022-06-16 09:45:00,1962.0799560547,99.099998474121,104
2022-06-16 10:00:00,2051.8400878906,133.30000305176,122
2022-06-16 10:15:00,1983.6800537109,113.90000152588,110
2022-06-16 10:30:00,1979.3599853516,116.80000305176,122
2022-06-16 10:45:00,1954.7199707031,108.40000152588,107
2022-06-16 11:00:00,1979.0400390625,126.90000152588,115
